customer_id,company,industry,country,signup_date,plan_level,billing_cycle,monthly_revenue,active_days,feature_usage_score,support_tickets,acquisition_channel,last_login_days_ago,nps_score,churned
2045,FinCorp,Healthcare,Australia,1/1/2024,Enterprise,ANNUAL,$266.13 ,15,76%,3,google ads,5,8,0
2087,Stripe,SaaS,U.S.A.,1/25/2024,Pro,Annual,$281.16 ,15,98%,0,Organic,6,8,0
1440,Stripe,Healthcare,USA,5/2/2024,Pro,Annual,$116.99 ,14,67%,4,Google Ads,11,8,0
1998,Salesforce,Education,USA,21-11-2024,Basic,Monthly,$265.94 ,14,74%,3,Organic,3,8,0
2147,FinCorp,FinTech,Canada,3/11/2024,Pro,monthly,$207.34 ,14,67%,1,Referral,5,8,0
1869,Salesforce,Real Estate,DE,12/5/2024,Pro,Monthly,€210.04,14,92%,0,Organic,1,8,0
1357,HubSpot,SaaS,USA,11/14/2024,Basic,Monthly,$27.06 ,13,56%,2,Organic,9,8,0
2049,Salesforce,E-commerce,Germany,5/22/2024,Enterprise,Annual,€304.41,13,93%,1,Organic,2,8,0
1624,Notion,Education,UK,5/6/2024,Free,Monthly,£17.02,13,33%,1,Organic,14,8,0
2169,FinCorp,Healthcare,United Kingdom,1/13/2024,Basic,Monthly,£61.26,11,30%,7,google ads,23,8,0
1127,Notion,Healthcare,Germany,12/10/2024,Basic,ANNUAL,€21.25,11,74%,2,Referral,3,8,0
1401,Salesforce,Healthcare,USA,2/14/2024,Pro,Annual,$74.24 ,11,83%,0,Organic,6,8,0
2108,Cloudify,SaaS,UK,19-09-2024,Basic,Monthly,£56.03,10,13%,3,google ads,22,8,0
1085,Zendesk,Education,Australia,7/27/2024,Basic,monthly,$54.97 ,10,67%,3,Organic,30+,8,0
1652,Cloudify,SaaS,UK,11/18/2024,Enterprise,ANNUAL,£1726.63,10,86%,2,Organic,7,8,0
1892,HubSpot,Marketing,United Kingdom,8/28/2024,Basic,Monthly,£181.76,10,68%,1,Organic,12,8,0
1484,MarketPro,Marketing,Australia,10/10/2024,Pro,Monthly,$225.25 ,9,96%,3,Organic,2,8,0
1011,Notion,Marketing,UK,8/13/2024,Enterprise,Annual,£1008.9,9,76%,0,Organic,4,8,0
1616,Salesforce,FinTech,DE,9/10/2024,Basic,monthly,€103.2,8,66%,1,Organic,8,8,0
1863,DataNest,Real Estate,Germany,11/15/2024,Pro,Monthly,€188.32,7,100%,3,Organic,7,8,0
1408,HubSpot,Marketing,USA,12/24/2024,Enterprise,ANNUAL,$381.00 ,7,76%,2,Referral,4,8,0
1169,Notion,Education,UK,6/10/2024,Pro,Annual,£246.26,7,96%,0,Organic,6,8,0
1632,Zendesk,E-commerce,USA,11/6/2024,Free,Monthly,$5.43 ,7,73%,0,Organic,26,8,0
1055,Salesforce,Education,Germany,2/22/2024,Pro,Monthly,€475.26,6,89%,1,Organic,2,8,0
1511,Salesforce,Education,DE,6/8/2024,Pro,Annual,€224.98,6,97%,1,Organic,5,8,0
2034,DataNest,Real Estate,DE,6/10/2024,Enterprise,Annual,€195.93,6,91%,1,Organic,7,8,0
1319,MarketPro,E-commerce,Australia,1/9/2024,Pro,ANNUAL,$384.44 ,6,68%,0,google ads,4,8,0
1080,Notion,E-commerce,UK,1/5/2024,Pro,Annual,£126.79,5,79%,1,Referral,6,8,0
2066,MarketPro,Real Estate,USA,8/17/2024,Enterprise,Annual,"$1,178.05 ",4,75%,2,google ads,3,8,0
1668,Salesforce,Healthcare,USA,11/1/2024,Pro,Annual,$26.69 ,4,78%,1,Organic,0,8,0
1480,Salesforce,SaaS,Germany,7/17/2024,Pro,ANNUAL,€276.23,3,66%,1,Google Ads,12,8,0
1888,Notion,Healthcare,Germany,9/2/2024,Basic,Monthly,€117.94,3,87%,1,Organic,17,8,0
1258,Notion,Marketing,Germany,11/1/2024,Enterprise,Monthly,€1444.1,3,77%,0,Google Ads,0,8,0
1566,Notion,Real Estate,U.K.,20-02-2024,Pro,ANNUAL,£326.62,3,84%,0,Organic,0,8,0
1556,Salesforce,Marketing,DE,1/4/2024,Basic,monthly,€96.14,2,93%,1,Organic,17,8,0
1965,Salesforce,Healthcare,Germany,3/15/2024,Enterprise,ANNUAL,€1929.57,1,100%,0,google ads,4,8,0
1446,DataNest,E-commerce,Germany,6/6/2024,Free,Monthly,€10.58,10+,32%,8,Organic,16,7,0
2155,Salesforce,E-commerce,USA,2/23/2024,Basic,Monthly,$114.43 ,10+,70%,8,Google Ads,33,7,0
1103,Notion,E-commerce,UK,7/4/2024,Free,Monthly,£38.81,10+,39%,8,Google Ads,38,7,0
1740,HubSpot,Marketing,UK,3/6/2024,Free,Monthly,£19.1,10+,36%,3,Google Ads,46,7,0
1534,FinCorp,Real Estate,U.S.A.,21-11-2024,Free,Monthly,$14.96 ,10+,39%,5,LinkedIn Ads,7,7,0
1879,DataNest,Marketing,Germany,3/6/2024,Free,Monthly,€21.55,10+,30%,7,Google Ads,23,7,0
1993,Zendesk,Education,USA,6/19/2024,Free,monthly,$21.04 ,22,30%,5,Organic,22,7,1
1168,HubSpot,Marketing,USA,11/13/2024,Free,monthly,$17.82 ,20,27%,1,Organic,34,7,1
1855,DataNest,Education,DE,3/25/2024,Free,monthly,€2.29,29,68%,5,LinkedIn Ads,55,7,1
1703,DataNest,SaaS,DE,10/7/2024,Basic,ANNUAL,€202.26,10+,46%,6,Google Ads,30+,7,0
1855,DataNest,Education,DE,3/25/2024,Free,monthly,€2.29,29,68%,5,LinkedIn Ads,55,7,1
1116,DataNest,E-commerce,UK,9/23/2024,Free,monthly,£8.31,10+,46%,5,Organic,18,7,0
1295,MarketPro,Real Estate,Canada,4/8/2024,Free,Monthly,$29.97 ,11,70%,4,Organic,55,7,1
1865,MarketPro,Real Estate,Australia,10/11/2024,Free,Monthly,$7.66 ,5,67%,6,LinkedIn Ads,16,7,1
1865,MarketPro,Real Estate,Australia,10/11/2024,Free,Monthly,$7.66 ,5,67%,6,LinkedIn Ads,16,7,1
2041,Stripe,Marketing,America,10/5/2024,Basic,Monthly,$252.18 ,10+,65%,6,Google Ads,42,7,1
1719,Cloudify,SaaS,UK,10/28/2024,Basic,monthly,£146.94,10+,56%,4,Organic,20,7,0
1406,HubSpot,Real Estate,UK,2/8/2024,Free,Monthly,£2.33,10+,72%,4,Organic,22,7,0
1621,DataNest,Real Estate,UK,2/13/2024,Free,Monthly,£5.43,10+,43%,4,google ads,40,7,0
1079,Notion,Education,UK,3/20/2024,Free,Monthly,£4.22,10+,45%,4,Organic,30+,7,0
2025,Salesforce,SaaS,Germany,12/3/2024,Pro,Monthly,€130.26,10+,77%,3,Google Ads,5,7,0
1465,Zendesk,SaaS,Australia,13-09-2024,Basic,Monthly,$38.88 ,10+,80%,3,Organic,6,7,0
1714,MarketPro,FinTech,Australia,6/16/2024,Basic,Annual,$378.42 ,10+,70%,3,Organic,7,7,0
2178,FinCorp,E-commerce,America,26-01-2024,Pro,Annual,$309.67 ,10+,71%,3,Google Ads,10,7,0
2178,FinCorp,E-commerce,America,26-01-2024,Pro,Annual,$309.67 ,10+,71%,3,Google Ads,10,7,0
1539,MarketPro,Real Estate,Canada,12/24/2024,Basic,ANNUAL,$57.98 ,10+,76%,3,Organic,13,7,0
1468,Notion,Real Estate,U.K.,14-05-2024,Free,Monthly,£4.9,10+,45%,3,Organic,14,7,0
1897,DataNest,SaaS,Germany,8/23/2024,Free,monthly,€59.15,10+,35%,3,Organic,16,7,0
2197,MarketPro,Education,Australia,10/10/2024,Free,Monthly,$7.74 ,28,54%,5,Organic,31,7,1
1254,Salesforce,Marketing,DE,1/5/2024,Free,monthly,€41.44,28,60%,8,Organic,31,7,1
1246,Salesforce,FinTech,Germany,8/3/2024,Free,monthly,€5.77,12,34%,6,Organic,52,7,1
1523,Cloudify,Real Estate,India,11/6/2024,Basic,Annual,$61.35 ,10+,33%,3,Referral,20,7,0
1658,Zendesk,SaaS,Australia,12/18/2024,Basic,monthly,$40.03 ,16,28%,4,Google Ads,34,7,1
1416,Stripe,Real Estate,U.S.A.,9/14/2024,Free,Monthly,$10.52 ,5,41%,6,Organic,34,7,1
1627,DataNest,FinTech,UK,28-08-2024,Basic,Monthly,£19.66,10+,34%,3,google ads,30,7,0
1066,MarketPro,Real Estate,Canada,6/12/2024,Free,Monthly,$20.34 ,13,42%,1,Organic,30+,7,0
1423,MarketPro,SaaS,USA,27-03-2024,Pro,Annual,$156.96 ,4,61%,3,Google Ads,30+,7,0
2019,Stripe,Education,Canada,19-12-2024,Free,Monthly,$7.63 ,17,38%,4,Organic,30+,7,0
1423,MarketPro,SaaS,USA,27-03-2024,Pro,Annual,$156.96 ,4,61%,6,Google Ads,30+,7,0
2074,Stripe,Education,America,1/14/2024,Free,monthly,$15.16 ,30,51%,5,Organic,34,7,0
1104,Salesforce,Healthcare,DE,5/2/2024,Free,Monthly,€35.24,4,26%,3,Organic,34,7,0
2016,HubSpot,SaaS,United Kingdom,8/16/2024,Free,Monthly,£1.62,30,30%,3,Referral,30+,7,0
2035,HubSpot,E-commerce,USA,6/21/2024,Basic,monthly,$89.96 ,10+,25%,4,google ads,30+,7,1
1971,Cloudify,Education,USA,5/6/2024,Pro,Annual,$248.83 ,10+,66%,2,Organic,11,7,0
2051,DataNest,Healthcare,Germany,12/14/2024,Free,Monthly,€33.37,5,44%,4,Organic,30+,7,0
1299,Salesforce,Marketing,DE,20-11-2024,Free,Monthly,€14.36,28,33%,5,Organic,45,7,0
1340,Notion,E-commerce,UK,11/10/2024,Basic,Monthly,£41.84,7,63%,5,Organic,45,7,0
1176,MarketPro,Real Estate,Australia,6/3/2024,Basic,Annual,$60.79 ,10+,54%,2,Google Ads,29,7,0
2134,Salesforce,E-commerce,DE,5/7/2024,Basic,Annual,€4.62,10+,67%,2,google ads,32,7,0
1075,DataNest,FinTech,Germany,11/4/2024,Free,Monthly,€3.86,10,42%,6,Organic,30+,7,1
2068,MarketPro,E-commerce,Australia,2/8/2024,Free,Monthly,$4.11 ,10,64%,6,LinkedIn Ads,46,7,1
2094,Stripe,Education,America,4/11/2024,Free,Monthly,$23.51 ,5,26%,10,Organic,30+,7,1
1135,DataNest,Real Estate,DE,4/20/2024,Basic,Monthly,€57.36,10+,81%,1,Organic,4,7,0
1827,Zendesk,FinTech,Australia,3/6/2024,Basic,Monthly,$189.89 ,10+,66%,1,Organic,8,7,0
1821,Notion,Healthcare,Germany,10/13/2024,Basic,monthly,€35.43,10+,72%,1,Organic,14,7,0
1166,MarketPro,Marketing,Australia,10/22/2024,Basic,Annual,$61.34 ,10+,57%,0,Organic,3,7,0
1301,HubSpot,SaaS,United Kingdom,6/21/2024,Basic,ANNUAL,£277.18,84,76%,3,Organic,8,7,0
1595,Cloudify,Healthcare,UK,10/22/2024,Free,Monthly,£26.08,33,42%,5,google ads,44,7,0
1526,Notion,Education,Germany,10/15/2024,Free,Monthly,€33.0,30,66%,3,Organic,10,7,0
1297,Notion,Education,USA,10/22/2024,Basic,Monthly,$80.79 ,30,36%,1,Google Ads,13,7,0
1593,MarketPro,Marketing,USA,6/5/2024,Basic,monthly,$40.04 ,30,73%,1,google ads,30,7,0
1105,Zendesk,FinTech,Australia,7/9/2024,Pro,Annual,$25.61 ,30,56%,1,Google Ads,30+,7,0
1367,DataNest,Healthcare,DE,1/4/2024,Basic,Monthly,€39.05,29,48%,6,Google Ads,30,7,0
2086,FinCorp,Healthcare,Germany,4/8/2024,Basic,Monthly,€29.41,28,18%,11,Google Ads,23,7,0
2194,Stripe,E-commerce,U.S.A.,5/8/2024,Free,monthly,$4.71 ,28,58%,4,Organic,13,7,0
1575,Zendesk,Marketing,USA,10/12/2024,Free,Monthly,$4.90 ,28,49%,2,Organic,31,7,0
1140,HubSpot,Real Estate,USA,11/24/2024,Free,monthly,$12.86 ,27,45%,4,Organic,13,7,0
1706,Zendesk,E-commerce,USA,26-08-2024,Free,Monthly,$8.84 ,27,43%,4,Referral,22,7,0
1747,Zendesk,Education,USA,12/1/2024,Free,monthly,$3.01 ,26,74%,6,Organic,18,7,0
2154,DataNest,SaaS,DE,3/23/2024,Basic,monthly,€91.34,26,63%,2,Referral,30+,7,0
1438,DataNest,FinTech,Germany,20-04-2024,Basic,Monthly,€22.51,25,41%,5,google ads,31,7,0
1717,Zendesk,Marketing,USA,5/26/2024,Pro,ANNUAL,$89.09 ,25,77%,3,google ads,6,7,0
1590,HubSpot,Healthcare,USA,23-02-2024,Pro,Annual,$182.31 ,25,83%,2,Google Ads,16,7,0
1690,FinCorp,Healthcare,India,7/7/2024,Basic,Monthly,$181.43 ,25,35%,2,Organic,21,7,0
1678,Notion,Healthcare,Germany,16-09-2024,Free,Monthly,€19.5,24,33%,6,Referral,23,7,0
1793,HubSpot,FinTech,USA,12/16/2024,Basic,Annual,$95.79 ,24,76%,1,Organic,16,7,0
1917,Salesforce,Real Estate,DE,12/12/2024,Basic,monthly,€32.23,23,71%,3,Google Ads,15,7,0
1399,HubSpot,FinTech,UK,17-04-2024,Basic,Annual,£115.56,23,114%,3,Google Ads,30+,7,0
1792,MarketPro,Real Estate,Canada,5/28/2024,Basic,Monthly,$8.58 ,23,58%,3,Google Ads,30+,7,0
1700,MarketPro,Healthcare,USA,26-07-2024,Basic,Monthly,$152.21 ,23,50%,2,Google Ads,24,7,0
1682,Salesforce,SaaS,DE,2/1/2024,Basic,Monthly,€173.83,23,88%,1,LinkedIn Ads,8,7,0
2199,Zendesk,Healthcare,USA,12/14/2024,Free,Monthly,$28.74 ,22,23%,5,Google Ads,47,7,0
1312,MarketPro,Marketing,Australia,12/14/2024,Free,Monthly,$1.46 ,22,39%,5,Referral,18,7,0
1878,Salesforce,E-commerce,Germany,28-01-2024,Basic,ANNUAL,€304.0,22,65%,3,Referral,4,7,0
1462,DataNest,FinTech,DE,9/19/2024,Basic,Monthly,€112.59,22,65%,3,Organic,11,7,0
2092,MarketPro,Real Estate,Australia,1/23/2024,Basic,Monthly,$90.16 ,22,80%,3,Organic,12,7,0
1353,HubSpot,E-commerce,UK,26-04-2024,Free,Monthly,£20.51,22,62%,3,Organic,13,7,0
1036,Salesforce,Marketing,DE,11/19/2024,Basic,ANNUAL,€146.85,22,61%,3,Google Ads,31,7,0
2124,DataNest,SaaS,Germany,2/26/2024,Pro,Monthly,€94.22,22,83%,2,google ads,6,7,0
1100,Stripe,Real Estate,USA,4/21/2024,Basic,Monthly,$30.38 ,22,62%,2,Referral,9,7,0
1803,Zendesk,E-commerce,USA,5/9/2024,Basic,Annual,$36.30 ,22,81%,1,Organic,16,7,0
1481,HubSpot,Real Estate,United Kingdom,5/23/2024,Basic,monthly,£140.96,21,92%,5,Organic,4,7,0
1043,Zendesk,E-commerce,Australia,1/3/2024,Basic,monthly,$90.89 ,21,61%,1,Organic,4,7,0
2150,Salesforce,SaaS,DE,9/4/2024,Basic,monthly,€28.18,20,34%,3,google ads,13,7,0
1478,MarketPro,E-commerce,Canada,9/12/2024,Basic,monthly,$87.45 ,19,54%,6,Google Ads,17,7,0
1856,HubSpot,Marketing,United Kingdom,4/3/2024,Free,Monthly,£22.32,19,44%,5,Referral,20,7,0
1460,Notion,SaaS,USA,10/8/2024,Basic,Monthly,$84.64 ,19,28%,3,Google Ads,10,7,0
1585,Zendesk,Healthcare,Australia,7/9/2024,Free,Monthly,$10.33 ,19,72%,3,Organic,22,7,0
1730,DataNest,E-commerce,UK,1/20/2024,Pro,Annual,£521.63,19,140%,1,google ads,10,7,0
1029,MarketPro,Healthcare,Canada,7/6/2024,Free,monthly,$1.43 ,18,28%,6,Organic,11,7,0
1437,FinCorp,Marketing,India,3/19/2024,Basic,Annual,$163.98 ,18,71%,5,Organic,10,7,0
1125,MarketPro,E-commerce,Canada,9/2/2024,Basic,Monthly,$123.18 ,18,93%,4,Organic,11,7,0
1434,MarketPro,Real Estate,Canada,10/8/2024,Free,Monthly,$37.40 ,18,37%,3,Organic,21,7,0
1296,Notion,Real Estate,USA,11/14/2024,Pro,monthly,$186.71 ,18,82%,1,google ads,4,7,0
1372,FinCorp,SaaS,India,7/6/2024,Free,Monthly,$18.64 ,18,4%,1,google ads,46,7,0
1597,Cloudify,Healthcare,USA,7/9/2024,Pro,monthly,$115.07 ,18,84%,0,Organic,8,7,0
1077,MarketPro,E-commerce,USA,4/21/2024,Free,Monthly,$19.26 ,17,57%,5,Organic,29,7,0
1209,Stripe,Education,U.S.A.,20-08-2024,Free,Monthly,$8.06 ,17,61%,5,Organic,32,7,0
1448,Zendesk,SaaS,USA,1/2/2024,Basic,Monthly,$91.61 ,17,41%,6,Google Ads,21,7,0
1980,HubSpot,SaaS,UK,7/12/2024,Basic,ANNUAL,£92.17,17,56%,5,Google Ads,30+,7,0
1141,Cloudify,E-commerce,India,11/24/2024,Free,Monthly,$8.87 ,17,38%,4,google ads,26,7,0
1551,Cloudify,Marketing,USA,6/10/2024,Basic,monthly,$41.73 ,17,32%,3,LinkedIn Ads,16,7,0
2005,Zendesk,Marketing,USA,17-02-2024,Free,Monthly,$26.43 ,16,29%,9,Organic,30,7,0
1546,MarketPro,SaaS,USA,9/26/2024,Free,Monthly,$7.84 ,16,48%,6,Organic,13,7,0
1988,Stripe,Healthcare,U.S.A.,9/3/2024,Free,Monthly,$4.33 ,16,63%,3,Organic,14,7,0
1681,Cloudify,Education,UK,23-10-2024,Free,Monthly,£42.47,16,18%,3,google ads,12,7,0
2024,Zendesk,Education,Australia,11/21/2024,Free,Monthly,$17.33 ,16,36%,1,Referral,23,7,0
1101,Salesforce,Marketing,USA,8/23/2024,Free,monthly,$32.36 ,15,32%,9,Google Ads,34,7,0
1712,Salesforce,Marketing,DE,15-11-2024,Free,monthly,€37.08,15,55%,5,Organic,10,7,0
1547,Zendesk,Education,USA,7/14/2024,Basic,Monthly,$117.16 ,15,48%,4,google ads,11,7,0
1231,DataNest,Real Estate,Germany,11/28/2024,Basic,Annual,€159.57,15,64%,3,Referral,5,7,0
1441,Notion,SaaS,U.K.,19-02-2024,Free,Monthly,£10.48,15,51%,3,Organic,13,7,0
2069,HubSpot,FinTech,UK,9/11/2024,Basic,Annual,£4552.23,15,54%,3,Google Ads,13,7,0
1146,HubSpot,SaaS,UK,2/27/2024,Basic,ANNUAL,£33.22,15,56%,2,Google Ads,29,7,0
1307,MarketPro,Education,USA,4/28/2024,Free,Monthly,$6.26 ,15,65%,0,Organic,17,7,0
1973,Salesforce,FinTech,USA,20-11-2024,Basic,Annual,$93.52 ,14,37%,9,Google Ads,30+,7,0
1957,HubSpot,FinTech,USA,9/22/2024,Free,Monthly,$9.64 ,14,40%,3,Organic,13,7,0
1872,Notion,Education,UK,2/3/2024,Basic,Monthly,£75.91,14,57%,5,Google Ads,32,7,0
1229,MarketPro,Marketing,Canada,2/9/2024,Free,monthly,$7.31 ,14,34%,5,Organic,16,7,0
1494,MarketPro,Real Estate,USA,11/13/2024,Basic,Monthly,$65.44 ,14,60%,4,Referral,10,7,0
1778,Notion,FinTech,Germany,15-03-2024,Free,monthly,€14.83,14,56%,3,Referral,21,7,0
1904,Zendesk,SaaS,Australia,12/2/2024,Free,monthly,$37.36 ,14,44%,2,Organic,15,7,0
1728,DataNest,Healthcare,DE,3/7/2024,Free,monthly,€12.58,14,54%,2,Organic,20,7,0
2093,MarketPro,E-commerce,Australia,7/21/2024,Pro,Monthly,$362.96 ,13,75%,5,google ads,11,7,0
1550,HubSpot,FinTech,United Kingdom,3/6/2024,Free,Monthly,£11.45,13,58%,5,Organic,1,7,0
1184,FinCorp,E-commerce,Australia,3/8/2024,Basic,monthly,$56.68 ,13,42%,3,Organic,13,7,0
1238,Notion,E-commerce,UK,4/12/2024,Basic,Annual,£1095.16,13,61%,2,Direct,16,7,0
1024,Salesforce,FinTech,USA,2/4/2024,Pro,ANNUAL,$211.77 ,13,68%,1,Google Ads,3,7,0
1557,FinCorp,Healthcare,DE,20-04-2024,Free,Monthly,€4.5,13,14%,0,Google Ads,30+,7,0
1635,MarketPro,Real Estate,Canada,7/7/2024,Basic,Annual,$199.73 ,12,69%,1,Organic,30+,7,0
1967,Notion,SaaS,UK,7/20/2024,Basic,Annual,£54.17,12,89%,0,Referral,12,7,0
1918,Notion,Real Estate,UK,14-04-2024,Free,Monthly,£1.5,11,65%,8,Organic,13,7,0
1308,Notion,Healthcare,Germany,7/8/2024,Free,monthly,€10.59,11,54%,4,Referral,23,7,0
1611,Cloudify,FinTech,India,10/2/2024,Pro,Annual,$115.28 ,11,68%,4,google ads,28,7,0
1963,Stripe,E-commerce,U.S.A.,12/12/2024,Free,monthly,$14.23 ,11,59%,2,Organic,16,7,0
1286,FinCorp,Marketing,U.S.A.,9/7/2024,Pro,Annual,$61.00 ,11,69%,1,Organic,10,7,0
2078,DataNest,E-commerce,UK,8/9/2024,Basic,Annual,£186.81,10,67%,2,Organic,7,7,0
1531,Salesforce,E-commerce,USA,21-05-2024,Basic,monthly,$163.76 ,10,51%,2,google ads,31,7,0
1698,Cloudify,E-commerce,India,11/9/2024,Free,monthly,$39.34 ,10,3%,2,Google Ads,43,7,0
2004,Notion,E-commerce,Germany,22-05-2024,Pro,Annual,€236.24,10,56%,1,Google Ads,17,7,0
2067,Stripe,Real Estate,America,4/8/2024,Basic,Monthly,$55.26 ,10,74%,0,Organic,7,7,0
1916,Stripe,SaaS,U.S.A.,4/10/2024,Basic,Annual,$204.74 ,9,81%,1,Organic,6,7,0
1165,Notion,Real Estate,U.K.,4/5/2024,Basic,Monthly,£8.84,8,52%,3,Google Ads,33,7,0
2125,MarketPro,Real Estate,Canada,17-06-2024,Basic,Monthly,$104.74 ,8,87%,2,Organic,5,7,0
2135,HubSpot,SaaS,United Kingdom,1/5/2024,Basic,Annual,£69.22,8,36%,2,Google Ads,16,7,0
1962,FinCorp,SaaS,DE,6/27/2024,Basic,Monthly,€146.47,8,29%,0,Organic,18,7,0
1786,Stripe,SaaS,U.S.A.,7/20/2024,Free,Monthly,$11.39 ,7,62%,5,Referral,33,7,0
1064,Cloudify,Healthcare,India,12/17/2024,Enterprise,Monthly,"$1,149.91 ",7,88%,2,Google Ads,4,7,0
1928,Stripe,SaaS,USA,1/27/2024,Basic,Monthly,$99.72 ,7,86%,2,Referral,9,7,0
2080,MarketPro,FinTech,Australia,5/3/2024,Basic,Annual,$36.87 ,6,68%,3,Google Ads,30+,7,0
1084,FinCorp,Real Estate,Australia,3/24/2024,Basic,Monthly,$49.67 ,5,48%,6,Organic,31,7,0
1473,Notion,Education,UK,8/25/2024,Pro,Monthly,£386.06,5,66%,4,Google Ads,12,7,0
1063,Cloudify,Education,USA,4/5/2024,Pro,monthly,$316.84 ,5,52%,4,google ads,33,7,0
2116,Notion,E-commerce,UK,8/7/2024,Free,Monthly,£19.68,5,38%,4,google ads,42,7,0
1710,Salesforce,Marketing,DE,12/5/2024,Pro,Annual,€335.77,5,88%,3,google ads,4,7,0
1797,MarketPro,Education,Canada,12/1/2024,Basic,Annual,$228.61 ,5,57%,1,Organic,5,7,0
2129,Zendesk,Healthcare,USA,6/8/2024,Basic,monthly,$153.91 ,5,70%,0,Organic,13,7,0
2144,FinCorp,Education,India,2/22/2024,Basic,ANNUAL,$176.28 ,4,73%,3,LinkedIn Ads,31,7,0
1578,DataNest,FinTech,UK,3/21/2024,Basic,Monthly,£138.86,4,55%,1,Referral,11,7,0
2188,Zendesk,Marketing,Australia,3/6/2024,Basic,Monthly,$133.96 ,4,67%,1,Google Ads,30+,7,0
1975,HubSpot,E-commerce,USA,4/1/2024,Basic,ANNUAL,$93.72 ,3,73%,4,Referral,8,7,0
1908,Notion,FinTech,UK,10/12/2024,Free,Monthly,£1.21,3,40%,4,Organic,18,7,0
1493,DataNest,Real Estate,Germany,11/19/2024,Free,Monthly,€4.6,3,59%,2,LinkedIn Ads,25,7,0
2137,HubSpot,Healthcare,UK,8/8/2024,Basic,monthly,£24.28,3,94%,1,Organic,13,7,0
1298,Cloudify,Healthcare,USA,25-01-2024,Pro,monthly,$421.02 ,3,93%,1,Organic,16,7,0
2110,Stripe,Marketing,U.S.A.,9/28/2024,Pro,Annual,$150.90 ,3,92%,0,Google Ads,9,7,0
1929,Cloudify,SaaS,UK,6/5/2024,Pro,Annual,£316.97,2,57%,3,Direct,7,7,0
1147,FinCorp,Education,UK,28-06-2024,Free,monthly,£11.16,2,43%,3,Organic,22,7,0
1945,Notion,E-commerce,U.K.,2/19/2024,Basic,Annual,£28.2,10+,65%,7,Organic,12,6,0
1236,Notion,E-commerce,UK,15-08-2024,Basic,Monthly,£99.6,10+,60%,6,Google Ads,20,6,0
2117,Salesforce,E-commerce,USA,3/11/2024,Basic,Monthly,$123.90 ,10+,48%,4,google ads,10,6,0
1450,Salesforce,Education,USA,28-01-2024,Basic,ANNUAL,$89.53 ,10+,65%,4,Google Ads,34,6,0
1544,Stripe,E-commerce,U.S.A.,3/10/2024,Pro,monthly,$103.11 ,10+,90%,4,Google Ads,30+,6,0
1584,HubSpot,SaaS,United Kingdom,8/12/2024,Basic,ANNUAL,£44.17,10+,73%,3,Referral,3,6,0
1966,Zendesk,Real Estate,USA,24-07-2024,Basic,monthly,$95.88 ,10+,76%,3,Organic,16,6,0
1936,Zendesk,FinTech,Australia,6/12/2024,Free,monthly,$2.13 ,10+,43%,3,Organic,18,6,0
1371,DataNest,E-commerce,DE,4/7/2024,Free,Monthly,€1.85,10+,47%,3,Organic,29,6,0
1638,HubSpot,Healthcare,USA,2/15/2024,Basic,Annual,$150.70 ,10+,86%,2,Organic,7,6,0
2072,Notion,Healthcare,U.K.,7/11/2024,Basic,Annual,£106.05,10+,81%,2,LinkedIn Ads,9,6,0
2084,HubSpot,Marketing,UK,9/3/2024,Basic,ANNUAL,£157.33,10+,70%,2,Organic,9,6,0
1387,Notion,SaaS,Germany,7/3/2024,Basic,Annual,€238.09,10+,47%,2,Google Ads,24,6,0
1212,FinCorp,Marketing,U.S.A.,26-09-2024,Pro,Monthly,$353.70 ,10+,44%,2,Google Ads,26,6,0
1798,FinCorp,Marketing,U.S.A.,12/24/2024,Pro,Monthly,$275.01 ,10+,50%,2,google ads,26,6,0
1759,Stripe,Marketing,America,12/22/2024,Basic,monthly,$110.49 ,13,58%,5,Organic,5,6,1
1294,Salesforce,Real Estate,USA,15-11-2024,Basic,monthly,$45.87 ,2,74%,5,Organic,22,6,1
1091,Zendesk,Education,Australia,12/7/2024,Pro,Monthly,$110.52 ,10+,58%,1,Google Ads,3,6,0
2006,Notion,SaaS,Germany,6/9/2024,Free,monthly,€13.01,16,30%,5,Organic,13,6,1
1583,Salesforce,SaaS,DE,3/25/2024,Free,Monthly,€8.84,10,27%,7,Organic,55,6,1
1528,Stripe,Real Estate,USA,10/20/2024,Basic,Annual,$73.47 ,2,55%,0,Referral,34,6,1
1414,Stripe,FinTech,America,11/13/2024,Free,Monthly,$7.39 ,17,27%,5,Organic,34,6,1
1849,Stripe,Healthcare,U.S.A.,2/8/2024,Free,monthly,$1.95 ,14,46%,4,Organic,66,6,1
1849,Stripe,Healthcare,U.S.A.,2/8/2024,Free,monthly,$1.95 ,14,46%,4,Organic,66,6,1
1121,Stripe,SaaS,America,7/22/2024,Free,Monthly,$12.45 ,8,71%,5,LinkedIn Ads,42,6,1
2081,MarketPro,Education,Canada,11/11/2024,Basic,monthly,$204.28 ,10+,71%,1,Referral,12,6,0
1942,FinCorp,Marketing,DE,6/10/2024,Basic,Monthly,€78.29,2,35%,5,Organic,42,6,1
1520,Notion,Education,Germany,6/1/2024,Pro,ANNUAL,€185.19,10+,89%,1,Google Ads,17,6,0
2020,Salesforce,FinTech,DE,9/1/2024,Basic,Monthly,€154.9,10+,89%,0,Organic,8,6,0
1375,Stripe,Real Estate,America,4/5/2024,Basic,Annual,$149.92 ,10+,53%,0,google ads,32,6,0
